timestamp,cpu_usr,cpu_sys,cpu_iowait,cpu_steal,cpu_idle,network_ifutil,memory_memused,memory_commit,disk_util,paging_vmeff
3.54,6.96,0.45,7.44,0.05,85.04,0,98.95,74.52,6.88,100
3.55,4.99,0.74,33.05,0.25,60.79,0,98.93,74.52,2.96,100
3.56,18.24,0.63,2.76,0.08,78.22,0,98.86,74.58,2.8,100
3.57,7.89,0.87,28.85,0.2,62.09,0,98.91,74.58,6.8,100
3.58,13.83,0.71,26.21,0.23,58.91,0,98.82,74.52,0.48,0
3.59,30.79,0.6,13.08,0.1,55.35,0.14,98.92,74.52,1.2,0
3.6,6.43,0.69,34.95,0.26,57.55,0,98.92,74.51,17.52,100
3.61,5.85,0.28,0.08,0,93.75,0,98.92,74.51,0.72,0
3.62,7.41,0.43,7.66,0.13,84.27,0,98.73,74.51,6.32,100
3.63,8.95,1.19,16.29,0.15,73.34,0,98.97,74.51,7.6,100
3.64,10.93,0.71,1.39,0.08,86.83,0,98.95,74.45,0.08,0
3.65,3.48,0.35,0,0.03,96.14,0.19,98.66,74.45,0.08,0
3.66,9.9,0.1,0.03,0,89.95,0.02,98.64,74.45,0.32,0
3.67,11.66,0.03,0,0,88.32,0,98.62,74.45,0.08,0
3.68,6.28,0.78,6.63,0.08,86.16,0,98.88,74.45,6.88,95
3.69,11.28,0.87,40.52,0.23,47.03,0,98.97,74.58,7.92,100
3.7,8.07,0.67,41.47,0.31,49.36,0,98.93,74.58,0,0
3.71,12.89,0.56,36.19,0.31,49.82,0,98.95,74.46,0,0
3.72,25.07,0.71,26.24,0.26,47.61,0.11,98.93,74.41,0,0
3.73,20.97,0.77,25.03,0.23,52.92,0,98.9,74.41,5.68,100
3.74,12.45,0.74,35.9,0.28,50.55,0,98.89,74.42,5.6,100
3.75,10.35,0.94,5.05,0.15,83.44,0,99.06,74.42,4.48,100
3.76,18.29,1.09,9.18,0.13,71.19,0,98.89,74.45,5.44,100
3.77,4.12,0.13,1.71,0.08,93.97,0.06,98.96,74.45,0.16,0
3.78,9.25,0.05,0,0,90.68,0.08,98.95,74.45,0,0
3.79,10.17,0.1,0.03,0,89.68,0,98.95,74.45,0.4,0
3.8,10.9,0.53,7.52,0.05,80.98,0,99.01,74.44,3.36,100
3.81,9.12,0.71,38.55,0.2,51.32,0.01,98.94,74.38,11.2,100
3.82,10.22,0.77,41.88,0.31,46.77,0,98.94,74.44,0,0
3.83,15.57,1.05,34.75,0.28,48.12,0,98.88,74.4,0.4,0
3.84,10.09,0.86,26.13,0.25,62.58,0,99.03,74.22,0,0
3.85,31.31,0.45,3.34,0.05,64.7,0.14,98.94,74.17,2.48,100
3.86,5.43,0.69,41.15,0.28,52.37,0,98.91,74.17,5.52,99.39
3.87,13.42,0.86,11.96,0.1,73.59,0,99,74.42,5.52,98.75
3.88,12.11,1.02,39.97,0.31,46.35,0,98.8,74.42,8.48,100
3.89,12.23,0.64,34.01,0.28,52.73,0,98.94,74.37,0.32,100
3.9,5.92,0.25,2.51,0.08,91.19,0.1,98.88,74.37,0,0
3.91,16.01,0.13,0,0.03,83.81,0.02,98.88,74.37,0,0
3.92,4.81,0.08,0,0,95.12,0,98.88,74.37,0.24,0
3.93,9.07,0.79,25.57,0.18,64.32,0.01,98.97,74.5,16,99.55
3.94,11.93,0.98,35.72,0.23,51.06,0,98.94,74.5,0,0
3.95,9.37,0.54,38.77,0.31,50.91,0,98.97,74.44,0.32,0
3.96,10.94,0.69,34.81,0.23,53.23,0,98.89,74.33,0,0
3.97,31.6,0.46,16.99,0.15,50.75,0.12,98.9,74.4,0,0
3.98,19.92,1.38,29.1,0.23,49.12,0,98.96,74.3,11.2,98.13
3.99,12.3,0.84,7.13,0.18,79.46,0,98.89,74.41,0.56,0
4,16.4,1.59,7.81,0.1,73.95,0,98.95,74.39,11.6,100
4.01,9.15,0.67,34.46,0.31,55.27,0,98.82,74.44,0.32,0
4.02,6.71,0.1,5.08,0.08,88.02,0,98.92,74.44,0,0
4.03,13.3,0.23,0,0.03,86.4,0.12,98.88,74.44,0.16,0
4.04,5.36,0.08,0,0.03,94.51,0,98.88,74.44,0.56,0
4.05,9.61,0.94,25.03,0.13,64.17,0.01,98.96,74.44,13.92,99.38
4.06,11.22,0.66,19.38,0.18,68.43,0,98.91,74.44,10.8,99.61
4.07,13.62,0.97,30.33,0.23,54.75,0,98.86,74.44,0.56,0
4.08,9.43,0.64,40.25,0.31,49.24,0,98.86,74.44,0.08,0
4.09,15.03,0.61,25.92,0.23,58.11,0.11,98.92,74.44,0,0
4.1,15.89,0.08,0,0,84.04,0.01,98.95,74.44,0,0
4.11,9.85,0.18,0.48,0,89.5,0,98.9,74.44,1.44,0
4.12,9.52,0.85,42.44,0.26,46.75,0,98.93,74.37,1.92,88.4
4.13,13.55,0.91,5.01,0.1,80.3,0,99.05,74.44,8.32,99.74
4.14,12.34,1.07,14.96,0.23,71.32,0,98.84,74.44,2.64,0
4.15,10.55,0.51,19.33,0.23,69.33,0,98.86,74.33,1.76,98.64
4.16,2.43,0.13,0,0.03,97.39,0.09,98.85,74.33,0.16,0
4.17,35.96,0.96,16.02,0.13,46.69,0.02,98.86,74.24,21.2,99.41
4.18,10.8,0.74,36.31,0.26,51.76,0,98.94,74.37,19.76,100
4.19,10.47,0.82,33.48,0.28,54.85,0,98.9,74.34,0.16,0
4.2,11.88,0.77,35.17,0.31,51.7,0,99.04,74.22,0.24,0
4.21,6.04,0.28,3.04,0.03,90.61,0,98.85,74.27,0.48,0
4.22,15.7,0.13,0,0,84.12,0.11,98.82,74.27,0.96,0
4.23,11.96,0.35,12.7,0.13,74.81,0,98.92,74.22,6.72,100
4.24,8.41,0.71,30.44,0.23,60.16,0,98.79,74.21,6.72,100
4.25,13.73,0.84,12.84,0.23,72.34,0,98.82,74.27,2.16,100
4.26,16.72,1.03,2.77,0.08,79.23,0,98.9,74.32,7.43,95.48
4.27,13.19,0.86,11.19,0.15,74.53,0,98.87,74.33,3.76,100
4.28,1.58,0.08,0.03,0,98.3,0.11,98.88,74.33,0.08,0
4.29,27.2,0.5,12.73,0.1,59.46,0.03,99.02,74.38,11.36,100
4.3,9.17,0.95,37.23,0.2,52.38,0,98.94,74.38,13.36,99.98
4.31,16.04,0.72,27.29,0.23,55.6,0,98.88,74.38,0.08,0
4.32,7.54,0.67,39.18,0.31,52.14,0,98.97,74.43,0,0
4.33,11.42,0.51,13.55,0.15,74.32,0,98.88,74.28,0,0
4.34,12.47,0.1,0,0,87.43,0.11,98.85,74.28,0.16,0
4.35,11.72,0.2,0.63,0.03,87.43,0,98.9,74.23,0.88,0
4.36,14.75,1.67,31.17,0.28,51.91,0,99.02,74.3,7.44,97.44
4.37,10.68,0.23,2.14,0.08,86.82,0,98.9,74.36,9.52,100
4.38,9,0.74,24.96,0.2,64.95,0,98.87,74.36,8.08,100
4.39,12.55,0.8,34.8,0.31,51.39,0,98.91,74.36,0,0
4.4,9.6,0.56,18.19,0.15,71.42,0,98.86,74.36,0.24,0
4.41,32.33,0.76,11.06,0.1,55.61,0.14,98.94,74.36,10.72,100
